X,Y,Wattage,Status
993028.243438318,444049.319553807,12.0,Active
992939.020997375,444048.249015749,12.0,Active
992898.832677167,444045.973753281,12.0,Active
992215.022637796,447632.892716534,12.0,Active
992214.303149607,447620.090551183,12.0,Active
994139.051837269,442968.870406821,12.0,Active
994201.188648295,442972.694553807,12.0,Active
994087.491469815,446502.05347769,12.0,Active
993309.245734908,447902.324146979,12.0,Active
994042.498031497,449374.429461941,12.0,Active
994042.498031497,449374.429461941,12.0,Active
994050.285433073,449384.820209973,12.0,Active
992914.564960629,444560.92486877,12.0,Active
992934.054461941,444576.26476378,12.0,Active
992914.179133859,444564.359908134,12.0,Active
992934.340223096,444572.952755906,12.0,Active
994201.894685041,439317.322506562,12.0,Active
993219.742454067,440123.983595803,12.0,Active
993219.742454067,440123.983595803,12.0,Active
993310.697834644,440132.790026248,12.0,Active
993221.2335958,440025.035433069,12.0,Active
993225.515748031,440024.218503937,12.0,Active
993304.109251969,440027.949475065,12.0,Active
994669.894028872,443009.10334646,12.0,Active
994258.411417324,439174.64895013,12.0,Active
994258.411417324,439174.64895013,12.0,Active
994255.262795277,439346.933398947,12.0,Active
994201.894685041,439317.322506562,12.0,Active
994255.262795277,439346.933398947,12.0,Active
993285.429133859,440988.289041996,12.0,Active
993213.658136483,440883.965223096,12.0,Active
993213.658136483,440883.965223096,12.0,Active
993285.339895014,440895.665026248,12.0,Active
993285.339895014,440895.665026248,12.0,Active
993214.250656169,440781.734908134,12.0,Active
993214.250656169,440781.734908134,12.0,Active
994625.306102362,442302.641404197,12.0,Active
994679.630577426,442385.348097116,12.0,Active
994624.15452756,442467.445209973,12.0,Active
994678.492125984,442513.769356959,12.0,Active
994619.552493438,442772.052493438,12.0,Active
994616.993766405,442928.090223096,12.0,Active
993440.732283466,447840.517716534,12.0,Active
993457.96883202,447905.820866145,12.0,Active
993635.610892389,449204.043307088,12.0,Active
993726.294619422,442690.427821524,12.0,Active
993665.398622047,442768.421916008,12.0,Active
993725.58070866,442849.588910758,12.0,Active
993665.844160106,442930.121719159,12.0,Active
993720.261811025,443005.587598428,12.0,Active
993663.840223096,443086.914041996,12.0,Active
993716.809711285,443166.943897635,12.0,Active
993660.180774279,443256.061679788,12.0,Active
993716.278215222,443316.341535434,12.0,Active
993655.692913387,443413.923228346,12.0,Active
993353.500656169,444586.197178476,12.0,Active
993353.500656169,444586.197178476,12.0,Active
993265.533792652,441835.013123363,12.0,Active
993212.16699475,440982.913057745,12.0,Active
993212.16699475,440982.913057745,12.0,Active
993285.429133859,440988.289041996,12.0,Active
993026.445538059,445764.548556432,12.0,Active
993029.444553807,445766.419619426,12.0,Active
993029.324146982,445762.885826774,12.0,Active
993026.445538059,445764.548556432,12.0,Active
992741.607611548,445739.367782153,12.0,Active
992741.607611548,445739.367782153,12.0,Active
992741.607611548,445739.367782153,12.0,Active
992741.607611548,445739.367782153,12.0,Active
992659.452755906,445789.354330711,12.0,Active
994181.409776904,444472.946850397,12.0,Active
994176.3585958,444519.472112864,12.0,Active
994111.425524935,444517.442257218,12.0,Active
994173.514107611,444596.21489501,12.0,Active
994113.510170605,444596.41141732,12.0,Active
995111.152559057,441859.078740157,12.0,Active
995160.263779528,441964.522965878,12.0,Active
995106.247703411,442063.142716534,12.0,Active
995162.508530185,442101.844160102,12.0,Active
994170.081692912,441049.999343835,12.0,Active
994230.628280841,441106.328083992,12.0,Active
994227.32152231,441268.824475065,12.0,Active
993673.413057745,442290.863188975,12.0,Active
993730.76082677,442371.92486877,12.0,Active
993729.425853018,442522.978018373,12.0,Active
993668.299540684,442611.27395013,12.0,Active
994041.303149607,446908.994094491,12.0,Active
